,DISTRICT_NAME,SUBCOUNTY_NAME,Crop,Yield
0,ABIM,ABIM,Maize,1183.089648
1,ABIM,ABIM TOWN COUNCIL,Maize,1061.151087
2,ABIM,ALEREK,Maize,1259.122045
3,ABIM,LOTUKEI,Maize,1003.30391
4,ABIM,MORULEM,Maize,962.9581695
5,ABIM,NYAKWAE,Maize,779.2250311
6,AMUDAT,AMUDAT,Maize,1379.045945
7,AMUDAT,AMUDAT TOWN COUNCIL,Maize,861.2084912
8,AMUDAT,KARITA,Maize,1286.723173
9,AMUDAT,LOROO,Maize,1196.08804
10,KAABONG,KAABONG  EAST,Maize,650.1235648
11,KAABONG,KAABONG TOWN COUNCIL,Maize,1229.213444
12,KAABONG,KAABONG WEST,Maize,1056.416068
13,KAABONG,KALAPATA,Maize,633.4231821
14,KAABONG,KAMION,Maize,714.4757426
15,KAABONG,KAPEDO,Maize,1030.064093
16,KAABONG,KATHILE,Maize,1125.685462
17,KAABONG,KAWALAKOL,Maize,871.612802
18,KAABONG,LOBALANGIT,Maize,985.1926986
19,KAABONG,LODIKO,Maize,815.2557286
20,KAABONG,LOLELIA,Maize,1273.397362
21,KAABONG,LOYORO,Maize,1303.403556
22,KAABONG,NAPORE (KARENGA),Maize,765.3349255
23,KAABONG,SIDOK,Maize,1396.991494
24,KOTIDO,KACHERI,Maize,1137.467019
25,KOTIDO,KOTIDO,Maize,1162.996687
26,KOTIDO,KOTIDO TOWN COUNCIL,Maize,1167.005832
27,KOTIDO,NAKAPERIMORU,Maize,852.3665784
28,KOTIDO,PANYANGARA,Maize,1283.859882
29,KOTIDO,RENGEN,Maize,1047.180128
30,MOROTO,KATIKEKILE,Maize,546.1402942
31,MOROTO,NADUNGET,Maize,591.2703553
32,MOROTO,NORTHERN DIVISION,Maize,241.5384268
33,MOROTO,RUPA,Maize,699.3343089
34,MOROTO,SOUTHERN DIVISION,Maize,0.0
35,MOROTO,TAPAC,Maize,211.9656354
36,NAKAPIRIPIRIT,KAKOMONGOLE,Maize,1318.261936
37,NAKAPIRIPIRIT,LOLACHAT,Maize,1225.930541
38,NAKAPIRIPIRIT,LOREGAE,Maize,1114.593607
39,NAKAPIRIPIRIT,LORENGEDWAT,Maize,795.7332802
40,NAKAPIRIPIRIT,MORUITA,Maize,1248.955812
41,NAKAPIRIPIRIT,NABILATUK,Maize,1066.204758
42,NAKAPIRIPIRIT,NAKAPIRIPIRIT TOWN COUNCIL,Maize,1257.802716
43,NAKAPIRIPIRIT,NAMALU,Maize,1325.254872
44,NAPAK,IRIIRI,Maize,873.4522415
45,NAPAK,LOKOPO,Maize,748.8298623
46,NAPAK,LOPEEI,Maize,1053.257168
47,NAPAK,LORENGECORA,Maize,841.8150105
48,NAPAK,LOTOME,Maize,507.9070676
49,NAPAK,MATANY,Maize,497.3532824
50,NAPAK,NAPAK TOWN COUNCIL,Maize,725.8139301
51,NAPAK,NGOLERIET,Maize,528.6998225
52,ABIM,ABIM,Sorghum,501.2632494
53,ABIM,ABIM TOWN COUNCIL,Sorghum,439.7509955
54,ABIM,ALEREK,Sorghum,520.4076722
55,ABIM,LOTUKEI,Sorghum,382.8689859
56,ABIM,MORULEM,Sorghum,407.5004165
57,ABIM,NYAKWAE,Sorghum,329.7590298
58,AMUDAT,AMUDAT,Sorghum,239.0478779
59,AMUDAT,AMUDAT TOWN COUNCIL,Sorghum,146.1177968
60,AMUDAT,KARITA,Sorghum,193.9048415
61,AMUDAT,LOROO,Sorghum,200.6962102
62,KAABONG,KAABONG  EAST,Sorghum,160.5885252
63,KAABONG,KAABONG TOWN COUNCIL,Sorghum,212.210703
64,KAABONG,KAABONG WEST,Sorghum,208.0405184
65,KAABONG,KALAPATA,Sorghum,209.8093519
66,KAABONG,KAMION,Sorghum,259.8982456
67,KAABONG,KAPEDO,Sorghum,301.1543278
68,KAABONG,KATHILE,Sorghum,312.2786152
69,KAABONG,KAWALAKOL,Sorghum,298.4499592
70,KAABONG,LOBALANGIT,Sorghum,386.5298191
71,KAABONG,LODIKO,Sorghum,164.6520605
72,KAABONG,LOLELIA,Sorghum,285.2134272
73,KAABONG,LOYORO,Sorghum,284.1830582
74,KAABONG,NAPORE (KARENGA),Sorghum,295.7343498
75,KAABONG,SIDOK,Sorghum,285.3362943
76,KOTIDO,KACHERI,Sorghum,354.2074107
77,KOTIDO,KOTIDO,Sorghum,367.8905232
78,KOTIDO,KOTIDO TOWN COUNCIL,Sorghum,369.3141771
79,KOTIDO,NAKAPERIMORU,Sorghum,283.3245689
80,KOTIDO,PANYANGARA,Sorghum,373.8369255
81,KOTIDO,RENGEN,Sorghum,271.1858431
82,MOROTO,KATIKEKILE,Sorghum,311.0062152
83,MOROTO,NADUNGET,Sorghum,133.6679356
84,MOROTO,NORTHERN DIVISION,Sorghum,131.9776979
85,MOROTO,RUPA,Sorghum,114.2709211
86,MOROTO,SOUTHERN DIVISION,Sorghum,114.7955689
87,MOROTO,TAPAC,Sorghum,155.8699345
88,NAKAPIRIPIRIT,KAKOMONGOLE,Sorghum,398.9790051
89,NAKAPIRIPIRIT,LOLACHAT,Sorghum,334.2843018
90,NAKAPIRIPIRIT,LOREGAE,Sorghum,384.256293
91,NAKAPIRIPIRIT,LORENGEDWAT,Sorghum,188.6996119
92,NAKAPIRIPIRIT,MORUITA,Sorghum,430.5573751
93,NAKAPIRIPIRIT,NABILATUK,Sorghum,259.4541224
94,NAKAPIRIPIRIT,NAKAPIRIPIRIT TOWN COUNCIL,Sorghum,482.4387931
95,NAKAPIRIPIRIT,NAMALU,Sorghum,560.3130703
96,NAPAK,IRIIRI,Sorghum,229.2991573
97,NAPAK,LOKOPO,Sorghum,120.8622322
98,NAPAK,LOPEEI,Sorghum,108.1564114
99,NAPAK,LORENGECORA,Sorghum,184.0811969
100,NAPAK,LOTOME,Sorghum,128.5555976
101,NAPAK,MATANY,Sorghum,130.0076868
102,NAPAK,NAPAK TOWN COUNCIL,Sorghum,175.828068
103,NAPAK,NGOLERIET,Sorghum,134.0840894
